toxin_type,binding_type,binding_affinity_nM,binding_site,toxin_id,antibody_id,data_source,toxin_type_encoded,binding_type_encoded,binding_site_encoded
Cysteine-Rich Secretory Protein,Conformational,-0.2913999448862716,Multiple CDRs,XP_032069584.1,8U9Y_E,real,0,1,14
Disintegrin,Specific,-0.06950017876997334,RGD Motif,SYN_TOX_DIS_76,SYN_MAB_125_H,synthetic,1,4,17
Snake Venom Serine Protease,Conformational,-0.1826979610507188,CDR-H3,Q6T5L0.2,1CDS_A,real,5,1,2
Snake Venom Metalloproteinase,Conformational,-0.10691164440318424,Multiple CDRs,F8RKV9.1,6IOM_A,real,4,1,14
Disintegrin,Conformational,-0.34823968237192243,Multiple CDRs,AAB22478.1,1CDQ_A,real,1,1,14
Disintegrin,Mixed,-0.30488734022184966,CDR-H3,ABD34834.1,6IOM_A,real,1,3,2
Snake Venom Serine Protease,Conformational,-0.2798393203129188,CDR-H3,Q6T5L0.2,4V1D_D,real,5,1,2
Cysteine-Rich Secretory Protein,Conformational,-0.22524748204986425,Multiple CDRs,XP_034288378.1,9MIB_N,real,0,1,14
Cysteine-Rich Secretory Protein,Linear,-0.31468175826316247,Multiple CDRs,XP_026568632.1,P00740.2,real,0,2,14
Disintegrin,Conformational,-0.21240234363502788,Multiple CDRs,ABD34835.1,6ION_A,real,1,1,14
Cysteine-Rich Secretory Protein,Conformational,-0.29445066525979513,Multiple CDRs,XP_015678374.1,8SXP_L,real,0,1,14
Snake Venom Metalloproteinase,Mixed,-0.24660252466452973,Multiple CDRs,F8RKW1.1,1CDR_A,real,4,3,14
Snake Venom Metalloproteinase,Conformational,-0.422259792487417,CDR-H3,A2TK72.1,4V1D_E,real,4,1,2
Phospholipase A2,Conformational,-0.37328770228085334,Multiple CDRs,AAB28455.1,9CLP_H,real,3,1,14
Snake Venom Serine Protease,Conformational,-0.18253739682053335,CDR-H3,A7LAC7.1,1CDS_A,real,5,1,2
Phospholipase A2,Conformational,-0.3591580500245334,Multiple CDRs,XCA51353.1,4V1D_B,real,3,1,14
Snake Venom Metalloproteinase,Linear,-0.16888943725476968,Multiple CDRs,F8RKW1.1,9CLP_H,real,4,2,14
Snake Venom Serine Protease,Conformational,-0.32576069014595876,Multiple CDRs,P0DJF5.1,P13987.1,real,5,1,14
Snake Venom Metalloproteinase,Conformational,-0.3968906441181152,CDR-H3,J3SBP9.1,Q9HCN6.4,real,4,1,2
Snake Venom Metalloproteinase,Linear,-0.2764674714790243,Multiple CDRs,P82942.1,8SXP_L,real,4,2,14
Cysteine-Rich Secretory Protein,Linear,-0.21561362823873698,Multiple CDRs,XP_026547749.1,9CU5_D,real,0,2,14
Phospholipase A2,Conformational,-0.3684707753752897,CDR-H3,AAB28454.1,6ION_A,real,3,1,2
Snake Venom Metalloproteinase,Mixed,-0.3247973047648461,Multiple CDRs,A3R0T9.1,8SXP_H,real,4,3,14
Snake Venom Metalloproteinase,Mixed,-0.3756961657336352,CDR-H3,Q5XUW8.1,8SXP_H,real,4,3,2
Snake Venom Serine Protease,Conformational,-0.394000487974777,CDR-H3,C0HK19.1,4V1D_A,real,5,1,2
Snake Venom Metalloproteinase,Linear,-0.2271742528120897,Multiple CDRs,A8QL49.1,NP_001265042.1,real,4,2,14
Snake Venom Metalloproteinase,Conformational,-0.30360282638036606,Multiple CDRs,V5TBK6.1,9CLP_H,real,4,1,14
Cysteine-Rich Secretory Protein,Mixed,-0.39416105220496245,Multiple CDRs,KAG8124478.1,9B7V_H,real,0,3,14
Phospholipase A2,Broad-spectrum,-0.24612083197397333,Multiple epitopes,SYN_TOX_PLA2_36,SYN_MAB_33_H,synthetic,3,0,15
Cysteine-Rich Secretory Protein,Mixed,-0.28240834799588604,Multiple CDRs,XP_013911769.1,4V1D_B,real,0,3,14
Snake Venom Serine Protease,Linear,0.8156904222424377,CDR-H3,E0Y420.1,4V1D_D,real,5,2,2
Cysteine-Rich Secretory Protein,Linear,-0.39592725873700246,Multiple CDRs,ATU85541.1,6IOM_B,real,0,2,14
Snake Venom Serine Protease,Linear,-0.06998187146052967,Multiple CDRs,A8QL53.1,1CDR_A,real,5,2,14
Cysteine-Rich Secretory Protein,Linear,0.032297543167604845,Multiple CDRs,BAP39957.1,1CDR_A,real,0,2,14
Cysteine-Rich Secretory Protein,Conformational,-0.3288114105194824,CDR-H3,XP_026547764.1,1CDQ_A,real,0,1,2
Snake Venom Metalloproteinase,Mixed,-0.23857431315525698,Multiple CDRs,A8QL59.1,9CLP_H,real,4,3,14
Snake Venom Metalloproteinase,Conformational,-0.4142315809781443,CDR-H3,F8S108.1,4V1D_B,real,4,1,2
Kunitz-type Serine Protease Inhibitor,Linear,0.19783926448880848,Multiple CDRs,AEI52542.1,4V1D_E,real,2,2,14
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,1.1331259053190812,Multiple epitopes,SYN_TOX_KSPI_19,SYN_MAB_109_H,synthetic,2,0,15
Phospholipase A2,Mixed,0.19687587910769583,CDR-H3,XCA51265.1,1CDQ_A,real,3,3,2
Disintegrin,Conformational,-0.41647948020074066,Multiple CDRs,AAB30855.1,NP_001424713.1,real,1,1,14
Snake Venom Metalloproteinase,Linear,-0.4115019890649915,CDR-H3,A3R0T9.1,4V1D_D,real,4,2,2
Snake Venom Metalloproteinase,Conformational,-0.24066164814766788,Multiple CDRs,V5TBK6.1,P00740.2,real,4,1,14
Snake Venom Metalloproteinase,Linear,-0.3880596114579152,Multiple CDRs,Q9W7S2.1,NP_000602.1,real,4,2,14
Snake Venom Metalloproteinase,Mixed,-0.2589659703888097,CDR-H3,U5PZ28.1,9CU6_K,real,4,3,2
Snake Venom Metalloproteinase,Mixed,-0.39335823105403517,CDR-H3,P82942.1,9CU6_F,real,4,3,2
Snake Venom Serine Protease,Mixed,-0.4211358428761188,Multiple CDRs,P18965.2,9CLP_H,real,5,3,14
Three-Finger Toxin,Broad-spectrum,4.602918919626754,Multiple epitopes,SYN_TOX_3FTx_73,SYN_MAB_98_H,synthetic,6,0,15
Snake Venom Metalloproteinase,Conformational,-0.2144896786274388,Multiple CDRs,P0C7A9.1,1CDQ_A,real,4,1,14
Cysteine-Rich Secretory Protein,Linear,-0.2215545047555988,CDR-H3,XP_032069584.1,4V1D_B,real,0,2,2
Snake Venom Metalloproteinase,Specific,-0.29589574333146423,Catalytic Domain,SYN_TOX_SVMP_65,SYN_MAB_1_H,synthetic,4,4,4
Cysteine-Rich Secretory Protein,Linear,0.3503752831649903,CDR-H3,XP_013911769.1,1CDS_A,real,0,2,2
Snake Venom Serine Protease,Conformational,0.8304623314194995,CDR-H3,E0Y421.1,9CLP_L,real,5,1,2
Snake Venom Metalloproteinase,Mixed,-0.29429010102960973,CDR-H3,J3SBP9.1,6IOM_A,real,4,3,2
Snake Venom Serine Protease,Linear,-0.4131076313668461,Multiple CDRs,P0DJF6.1,9CLP_L,real,5,2,14
Disintegrin,Broad-spectrum,1.4622825771992631,Multiple epitopes,SYN_TOX_DIS_20,SYN_MAB_28_H,synthetic,1,0,15
Kunitz-type Serine Protease Inhibitor,Conformational,-0.35385943042841334,Multiple CDRs,AEI52542.1,9CLP_L,real,2,1,14
Cysteine-Rich Secretory Protein,Linear,-0.3371607504891261,Multiple CDRs,XP_032069593.1,8U9Y_E,real,0,2,14
Cysteine-Rich Secretory Protein,Mixed,-0.16792605187365697,CDR-H3,XP_026568632.1,4V1D_D,real,0,3,2
Kunitz-type Serine Protease Inhibitor,Specific,-0.1883177091072097,Inhibitory Loop,SYN_TOX_KSPI_96,SYN_MAB_101_H,synthetic,2,4,10
Snake Venom Metalloproteinase,Mixed,-0.32816915359874066,Multiple CDRs,P0DM97.1,NP_001424713.1,real,4,3,14
Snake Venom Metalloproteinase,Linear,-0.3936793595144061,CDR-H3,C0HJU2.1,NP_001265043.1,real,4,2,2
Phospholipase A2,Mixed,-0.38597227646550425,Multiple CDRs,AAB36472.1,NP_000602.1,real,3,3,14
Snake Venom Metalloproteinase,Linear,-0.29316615141831154,Multiple CDRs,P0C6R9.2,NP_001265042.1,real,4,2,14
Phospholipase A2,Specific,-0.42755841208353695,Enzymatic Site,SYN_TOX_PLA2_127,SYN_MAB_25_H,synthetic,3,4,7
Cysteine-Rich Secretory Protein,Conformational,0.20281675562455762,Multiple CDRs,XP_032069593.1,Q9HCN6.4,real,0,1,14
Snake Venom Serine Protease,Conformational,-0.22556861051023516,CDR-H3,Q9I8X1.2,9CLP_C,real,5,1,2
Disintegrin,Linear,-0.32672407552707156,CDR-H3,ABD34835.1,9CU6_G,real,1,2,2
Phospholipase A2,Specific,0.04610606696355398,Calcium Binding Loop,SYN_TOX_PLA2_127,SYN_MAB_141_H,synthetic,3,4,3
Cysteine-Rich Secretory Protein,Mixed,-0.388701868378657,CDR-H3,BAP39923.1,1CDR_A,real,0,3,2
Three-Finger Toxin,Specific,-0.3151634509537188,Central Core,SYN_TOX_3FTx_157,SYN_MAB_110_H,synthetic,6,4,6
Cysteine-Rich Secretory Protein,Conformational,-0.4137498882875879,CDR-H3,AAP20602.1,4V1D_A,real,0,1,2
Cysteine-Rich Secretory Protein,Mixed,-0.4074878833103551,CDR-H3,XP_013911769.1,9CLP_C,real,0,3,2
Snake Venom Metalloproteinase,Linear,-0.41856681519315153,CDR-H3,P0DM89.1,4V1D_D,real,4,2,2
Snake Venom Serine Protease,Mixed,0.508852178358034,CDR-H3,A7LAC7.1,9CU5_K,real,5,3,2
Phospholipase A2,Conformational,-0.3562678938811952,Multiple CDRs,XCA51214.1,8SXP_H,real,3,1,14
Phospholipase A2,Conformational,-0.3774623722656752,CDR-H3,XCA51370.1,1CDQ_A,real,3,1,2
Snake Venom Metalloproteinase,Conformational,-0.020367524333224217,CDR-H3,A2TK72.1,8SXP_L,real,4,1,2
Snake Venom Serine Protease,Linear,-0.35418055888878425,CDR-H3,P0DJ86.1,NP_000602.1,real,5,2,2
Snake Venom Metalloproteinase,Mixed,-0.18574868142424242,CDR-H3,U5PZ28.1,6IOM_B,real,4,3,2
Snake Venom Serine Protease,Mixed,-0.36092425655657334,Multiple CDRs,P84787.1,1CDR_A,real,5,3,14
Cysteine-Rich Secretory Protein,Mixed,-0.2819266553053297,CDR-H3,AAP20602.1,6ION_A,real,0,3,2
Phospholipase A2,Mixed,-0.38340324878253695,Multiple CDRs,AAB26654.1,4V1D_E,real,3,3,14
Snake Venom Metalloproteinase,Mixed,-0.26362233306418786,CDR-H3,C0L2T8.1,NP_001265042.1,real,4,3,2
Snake Venom Serine Protease,Mixed,0.10776273135476848,CDR-H3,P81824.2,P00740.2,real,5,3,2
Snake Venom Metalloproteinase,Mixed,-0.15395696384752242,CDR-H3,A2TK72.1,4V1D_B,real,4,3,2
Phospholipase A2,Mixed,-0.22829820242338789,Multiple CDRs,XCA51213.1,9MIB_N,real,3,3,14
Cysteine-Rich Secretory Protein,Linear,-0.3776229364958606,CDR-H3,XP_039185515.1,9CLP_L,real,0,2,2
Snake Venom Serine Protease,Conformational,-0.15026398655325696,Multiple CDRs,Q9YGJ9.1,9CLP_H,real,5,1,14
Phospholipase A2,Specific,-0.2621772549925188,Calcium Binding Loop,SYN_TOX_PLA2_176,SYN_MAB_146_H,synthetic,3,4,3
Cysteine-Rich Secretory Protein,Specific,-0.013302698205064252,CAP Domain,SYN_TOX_CRISP_77,SYN_MAB_32_H,synthetic,0,4,1
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,2.0627927980928633,Multiple epitopes,SYN_TOX_KSPI_47,SYN_MAB_12_H,synthetic,2,0,15
Cysteine-Rich Secretory Protein,Conformational,-0.351611531205817,Multiple CDRs,ATU85541.1,9CLP_C,real,0,1,14
Cysteine-Rich Secretory Protein,Linear,-0.4036343417859043,CDR-H3,XP_034288378.1,8SXP_L,real,0,2,2
Snake Venom Serine Protease,Linear,-0.4190485078837079,Multiple CDRs,NP_001310176.1,9MIB_N,real,5,2,14
Disintegrin,Conformational,-0.4211358428761188,Multiple CDRs,AAB22478.1,4V1D_D,real,1,1,14
Snake Venom Metalloproteinase,Linear,-0.3667045688432497,CDR-H3,J3S829.1,8SXP_L,real,4,2,2
Phospholipase A2,Linear,-0.4078090117707261,Multiple CDRs,XCA51214.1,1CDR_A,real,3,2,14
Snake Venom Serine Protease,Conformational,-0.34101429201357697,Multiple CDRs,D8MIA2.1,6IOM_B,real,5,1,14
Snake Venom Serine Protease,Mixed,-0.37200318843936975,CDR-H3,Q27J47.1,4V1D_A,real,5,3,2
Disintegrin,Conformational,-0.35032701736433336,CDR-H3,ABD34834.1,8U9Y_N,real,1,1,2
Phospholipase A2,Mixed,-0.08362983102629333,Multiple CDRs,AAB36471.1,6IOM_A,real,3,3,14
Snake Venom Serine Protease,Mixed,-0.1674443591831006,CDR-H3,P81824.2,9CU6_F,real,5,3,2
Snake Venom Serine Protease,Conformational,0.38682336341708856,Multiple CDRs,E5L0E4.1,6ION_A,real,5,1,14
Cysteine-Rich Secretory Protein,Linear,-0.23086723010635515,Multiple CDRs,XP_058038736.1,6ION_A,real,0,2,14
Snake Venom Metalloproteinase,Specific,-0.013302698205064252,Catalytic Domain,SYN_TOX_SVMP_128,SYN_MAB_129_H,synthetic,4,4,4
Phospholipase A2,Linear,-0.379870835718457,Multiple CDRs,AAB33759.1,1CDR_A,real,3,2,14
Phospholipase A2,Broad-spectrum,3.305559939728281,Multiple epitopes,SYN_TOX_PLA2_120,SYN_MAB_134_H,synthetic,3,0,15
Snake Venom Metalloproteinase,Linear,-0.24034051968729697,CDR-H3,C0L2T8.1,4V1D_B,real,4,2,2
Snake Venom Serine Protease,Mixed,-0.21673757785003514,Multiple CDRs,P85109.1,6IOM_A,real,5,3,14
Snake Venom Metalloproteinase,Conformational,-0.4249893844005697,CDR-H3,V5TBK6.1,8U9Y_M,real,4,1,2
Cysteine-Rich Secretory Protein,Mixed,-0.2954140506409079,CDR-H3,XP_013911769.1,1CDQ_A,real,0,3,2
Cysteine-Rich Secretory Protein,Specific,0.0027537248134812046,CAP Domain,SYN_TOX_CRISP_196,SYN_MAB_74_H,synthetic,0,4,1
Phospholipase A2,Specific,-0.2798393203129188,Enzymatic Site,SYN_TOX_PLA2_92,SYN_MAB_7_H,synthetic,3,4,7
Cysteine-Rich Secretory Protein,Linear,-0.35241435235674423,CDR-H3,XP_015678374.1,9CU6_E,real,0,2,2
Snake Venom Metalloproteinase,Conformational,-0.33924808548153695,Multiple CDRs,A8QL49.1,NP_000602.1,real,4,1,14
Disintegrin,Broad-spectrum,-0.024542194318046058,Multiple epitopes,SYN_TOX_DIS_160,SYN_MAB_120_H,synthetic,1,0,15
Snake Venom Serine Protease,Conformational,0.2753917876683831,CDR-H3,P0DJF6.1,9MIB_N,real,5,1,2
Phospholipase A2,Conformational,-0.2095121874916897,CDR-H3,AAB20783.1,4V1D_D,real,3,1,2
Three-Finger Toxin,Broad-spectrum,-0.13372587084415516,Multiple epitopes,SYN_TOX_3FTx_171,SYN_MAB_33_H,synthetic,6,0,15
Snake Venom Metalloproteinase,Conformational,-0.19345576447314425,Multiple CDRs,C0HJU2.1,4V1D_B,real,4,1,14
Snake Venom Serine Protease,Conformational,-0.02823517161231152,Multiple CDRs,E5L0E3.1,Q9HCN6.4,real,5,1,14
Snake Venom Serine Protease,Linear,0.504998636833583,CDR-H3,C0HLA3.1,8SXP_L,real,5,2,2
Three-Finger Toxin,Broad-spectrum,4.101958521448136,Multiple epitopes,SYN_TOX_3FTx_157,SYN_MAB_33_H,synthetic,6,0,15
Snake Venom Metalloproteinase,Linear,-0.36092425655657334,CDR-H3,J9Z332.1,P00740.2,real,4,2,2
Cysteine-Rich Secretory Protein,Specific,-0.0020632020920823865,CAP Domain,SYN_TOX_CRISP_70,SYN_MAB_57_H,synthetic,0,4,1
Phospholipase A2,Specific,-0.36975528921677336,Calcium Binding Loop,SYN_TOX_PLA2_190,SYN_MAB_29_H,synthetic,3,4,3
Snake Venom Metalloproteinase,Linear,-0.35064814582470427,Multiple CDRs,A8QL49.1,9MI0_K,real,4,2,14
Snake Venom Serine Protease,Linear,-0.3659017476923224,CDR-H3,B0ZT25.1,9CU6_J,real,5,2,2
Phospholipase A2,Linear,-0.3936793595144061,Multiple CDRs,AAB28454.1,9CLP_H,real,3,2,14
Disintegrin,Conformational,-0.29862533524461693,Multiple CDRs,AAB30855.1,8SXP_L,real,1,1,14
Cysteine-Rich Secretory Protein,Linear,-0.25880540615862424,CDR-H3,XP_026549114.1,9CLP_H,real,0,2,2
Snake Venom Serine Protease,Conformational,-0.2660307965169697,CDR-H3,P0DJ86.1,P13987.1,real,5,1,2
Phospholipase A2,Conformational,-0.3960878229671879,Multiple CDRs,AAB28455.1,6IOM_A,real,3,1,14
Cysteine-Rich Secretory Protein,Conformational,0.2755523518985685,CDR-H3,AAP20603.1,6ION_A,real,0,1,2
Cysteine-Rich Secretory Protein,Mixed,-0.38260042763160973,CDR-H3,XP_026568632.1,4V1D_E,real,0,3,2
Snake Venom Metalloproteinase,Mixed,-0.17611482761311512,CDR-H3,F8RKW0.1,Q9HCN6.4,real,4,3,2
Snake Venom Serine Protease,Linear,-0.3864539691560606,CDR-H3,Q5MCS0.1,8SXP_L,real,5,2,2
Snake Venom Serine Protease,Mixed,-0.1659992811114315,CDR-H3,D8MIA2.1,NP_000602.1,real,5,3,2
Snake Venom Metalloproteinase,Mixed,-0.27999988454310426,Multiple CDRs,R4NNL0.1,P13987.1,real,4,3,14
Phospholipase A2,Linear,-0.1875148879562824,Multiple CDRs,XCA51213.1,9CLP_L,real,3,2,14
Snake Venom Serine Protease,Linear,-0.395766694506817,CDR-H3,A8QL56.1,6IOM_B,real,5,2,2
Disintegrin,Specific,-0.17386692839051882,RGD Motif,SYN_TOX_DIS_55,SYN_MAB_87_H,synthetic,1,4,17
Cysteine-Rich Secretory Protein,Linear,-0.3973723368086715,Multiple CDRs,XP_039185515.1,8SXP_L,real,0,2,14
Snake Venom Metalloproteinase,Mixed,-0.2758252145582824,CDR-H3,U5PZ28.1,9MIA_R,real,4,3,2
Snake Venom Serine Protease,Conformational,-0.3878990472277297,CDR-H3,A7LAC7.1,9CU6_K,real,5,1,2
Cysteine-Rich Secretory Protein,Conformational,-0.4143921452083297,Multiple CDRs,XP_026568632.1,6IOM_B,real,0,1,14
Snake Venom Metalloproteinase,Conformational,0.010781936322753934,CDR-H3,P0DM89.1,9MIA_N,real,4,1,2
Snake Venom Serine Protease,Mixed,-0.3063324182935188,CDR-H3,P0CJ41.1,4V1D_D,real,5,3,2
Snake Venom Serine Protease,Conformational,0.0801456837628703,CDR-H3,P0DJ86.1,9CLP_C,real,5,1,2
Phospholipase A2,Mixed,0.1435685546861249,CDR-H3,AAB36472.1,4V1D_D,real,3,3,2
Snake Venom Metalloproteinase,Linear,-0.263301204603817,CDR-H3,F8RKW0.1,P00740.2,real,4,2,2
Snake Venom Metalloproteinase,Mixed,-0.2766280357092097,CDR-H3,P0C6R9.2,NP_001424713.1,real,4,3,2
Cysteine-Rich Secretory Protein,Linear,-0.4023498279444206,CDR-H3,BAP39923.1,4V1D_D,real,0,2,2
Snake Venom Metalloproteinase,Linear,-0.4148738378988861,Multiple CDRs,A3R0T9.1,9CLP_C,real,4,2,14
Cysteine-Rich Secretory Protein,Conformational,0.19109556682101947,CDR-H3,XP_026546646.1,9MI0_R,real,0,1,2
Snake Venom Serine Protease,Mixed,-0.3121127305801952,CDR-H3,E5L0E6.1,9CLP_H,real,5,3,2
Snake Venom Serine Protease,Mixed,-0.16680210226235878,Multiple CDRs,E5L0E3.1,4V1D_B,real,5,3,14
Snake Venom Serine Protease,Conformational,-0.1229680674217297,Multiple CDRs,Q5MCS0.1,9MI0_L,real,5,1,14
Snake Venom Serine Protease,Conformational,-0.2565575069360279,Multiple CDRs,Q9YGJ9.1,9CLP_L,real,5,1,14
Disintegrin,Linear,-0.399299107570897,Multiple CDRs,AAB22478.1,1CDS_A,real,1,2,14
Phospholipase A2,Conformational,-0.3890229968390279,Multiple CDRs,AAB20783.1,9CU5_D,real,3,1,14
Snake Venom Metalloproteinase,Mixed,-0.24917155234749697,Multiple CDRs,P0DM97.1,6IOM_B,real,4,3,14
Phospholipase A2,Linear,-0.40556111254812977,Multiple CDRs,XCA51350.1,6IOM_A,real,3,2,14
Snake Venom Serine Protease,Conformational,-0.27389844379605693,CDR-H3,A0A1I9KNP0.1,1CDQ_A,real,5,1,2
Snake Venom Metalloproteinase,Conformational,-0.3397297781720933,CDR-H3,A3R0T9.1,9CLP_L,real,4,1,2
Cysteine-Rich Secretory Protein,Mixed,-0.20501638904649697,Multiple CDRs,AAL54896.1,8SXP_L,real,0,3,14
Disintegrin,Conformational,0.4963281684035686,Multiple CDRs,AAB27210.1,9CU5_D,real,1,1,14
Snake Venom Metalloproteinase,Broad-spectrum,5.0075407796941,Multiple epitopes,SYN_TOX_SVMP_121,SYN_MAB_28_H,synthetic,4,0,15
Snake Venom Metalloproteinase,Linear,-0.19682761330703877,CDR-H3,P0C6R9.2,4V1D_E,real,4,2,2
Snake Venom Metalloproteinase,Linear,0.11049232326792123,Multiple CDRs,A8QL49.1,NP_001455.3,real,4,2,14
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,0.40737558488082676,Multiple epitopes,SYN_TOX_KSPI_47,SYN_MAB_43_H,synthetic,2,0,15
Disintegrin,Mixed,-0.2151319355481806,Multiple CDRs,ABD34835.1,1CDS_A,real,1,3,14
Snake Venom Serine Protease,Mixed,-0.39287653836347886,CDR-H3,Q9YGJ9.1,9CU5_F,real,5,3,2
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,3.3312502165579545,Multiple epitopes,SYN_TOX_KSPI_47,SYN_MAB_56_H,synthetic,2,0,15
Phospholipase A2,Linear,-0.35963974271508975,Multiple CDRs,AAB25792.1,4V1D_E,real,3,2,14
Snake Venom Metalloproteinase,Conformational,-0.36461723385083883,CDR-H3,J9Z332.1,1CDS_A,real,4,1,2
Snake Venom Serine Protease,Conformational,-0.3652594907715806,Multiple CDRs,E0Y419.1,9CLP_L,real,5,1,14
Snake Venom Metalloproteinase,Broad-spectrum,6.895776126675045,Multiple epitopes,SYN_TOX_SVMP_44,SYN_MAB_107_H,synthetic,4,0,15
Snake Venom Metalloproteinase,Conformational,-0.335715672417457,Multiple CDRs,Q9PW36.1,4V1D_E,real,4,1,14
Cysteine-Rich Secretory Protein,Conformational,-0.316287400565017,Multiple CDRs,XP_015678374.1,4V1D_D,real,0,1,14
Three-Finger Toxin,Specific,-0.2557546857851006,Central Core,SYN_TOX_3FTx_178,SYN_MAB_16_H,synthetic,6,4,6
Snake Venom Serine Protease,Conformational,-0.33539454395708607,CDR-H3,C0HLA3.1,P00740.2,real,5,1,2
Kunitz-type Serine Protease Inhibitor,Specific,-0.10964123631633699,Inhibitory Loop,SYN_TOX_KSPI_117,SYN_MAB_66_H,synthetic,2,4,10
Snake Venom Serine Protease,Mixed,-0.3223888413120643,CDR-H3,B0FXM2.1,1CDS_A,real,5,3,2
Phospholipase A2,Mixed,0.03518769931094308,CDR-H3,AAB28455.1,1CDR_A,real,3,3,2
Snake Venom Serine Protease,Linear,-0.36269046308861336,Multiple CDRs,P0CJ41.1,1CDQ_A,real,5,2,14
Snake Venom Serine Protease,Mixed,-0.42771897631372247,CDR-H3,Q5MCS0.1,4V1D_E,real,5,3,2
Snake Venom Serine Protease,Conformational,-0.3231916624629915,Multiple CDRs,E0Y419.1,4V1D_B,real,5,1,14
Snake Venom Serine Protease,Linear,-0.23488133586099152,CDR-H3,E5L0E3.1,4V1D_E,real,5,2,2
Disintegrin,Mixed,-0.4232231778685297,CDR-H3,P34182.1,9CLP_H,real,1,3,2
Snake Venom Serine Protease,Mixed,-0.3793891430279006,Multiple CDRs,P0C5B4.2,4V1D_B,real,5,3,14
Snake Venom Serine Protease,Conformational,-0.3469551685304388,Multiple CDRs,B5U6Y3.1,P00740.2,real,5,1,14
Cysteine-Rich Secretory Protein,Linear,0.28052984303431766,CDR-H3,XP_034288378.1,P13987.1,real,0,2,2
