toxin_type,binding_type,binding_affinity_nM,binding_site,toxin_id,antibody_id,data_source
Phospholipase A2,Linear,12.68,CDR-H3,XCA51353.1,6IOM_A,real
Snake Venom Serine Protease,Linear,18.44,Multiple CDRs,D8MIA2.1,9CLP_L,real
Snake Venom Metalloproteinase,Linear,5.71,Multiple CDRs,P17347.3,4V1D_A,real
Snake Venom Metalloproteinase,Mixed,17.02,Multiple CDRs,A8QL59.1,9CLP_L,real
Cysteine-Rich Secretory Protein,Conformational,9.08,Multiple CDRs,XP_032069584.1,8U9Y_E,real
Disintegrin,Specific,22.9,RGD Motif,SYN_TOX_DIS_76,SYN_MAB_125_H,synthetic
Snake Venom Serine Protease,Conformational,15.85,CDR-H3,Q6T5L0.2,1CDS_A,real
Snake Venom Metalloproteinase,Conformational,20.57,Multiple CDRs,F8RKV9.1,6IOM_A,real
Disintegrin,Conformational,5.54,Multiple CDRs,AAB22478.1,1CDQ_A,real
Disintegrin,Mixed,8.24,CDR-H3,ABD34834.1,6IOM_A,real
Snake Venom Serine Protease,Conformational,9.8,CDR-H3,Q6T5L0.2,4V1D_D,real
Cysteine-Rich Secretory Protein,Conformational,13.2,Multiple CDRs,XP_034288378.1,9MIB_N,real
Cysteine-Rich Secretory Protein,Linear,7.63,Multiple CDRs,XP_026568632.1,P00740.2,real
Disintegrin,Conformational,14.0,Multiple CDRs,ABD34835.1,6ION_A,real
Cysteine-Rich Secretory Protein,Conformational,8.89,Multiple CDRs,XP_015678374.1,8SXP_L,real
Snake Venom Metalloproteinase,Mixed,11.87,Multiple CDRs,F8RKW1.1,1CDR_A,real
Snake Venom Metalloproteinase,Conformational,0.93,CDR-H3,A2TK72.1,4V1D_E,real
Phospholipase A2,Conformational,3.98,Multiple CDRs,AAB28455.1,9CLP_H,real
Snake Venom Serine Protease,Conformational,15.86,CDR-H3,A7LAC7.1,1CDS_A,real
Phospholipase A2,Conformational,4.86,Multiple CDRs,XCA51353.1,4V1D_B,real
Snake Venom Metalloproteinase,Linear,16.71,Multiple CDRs,F8RKW1.1,9CLP_H,real
Snake Venom Serine Protease,Conformational,6.94,Multiple CDRs,P0DJF5.1,P13987.1,real
Snake Venom Metalloproteinase,Conformational,2.51,CDR-H3,J3SBP9.1,Q9HCN6.4,real
Snake Venom Metalloproteinase,Linear,10.01,Multiple CDRs,P82942.1,8SXP_L,real
Cysteine-Rich Secretory Protein,Linear,13.8,Multiple CDRs,XP_026547749.1,9CU5_D,real
Phospholipase A2,Conformational,4.28,CDR-H3,AAB28454.1,6ION_A,real
Snake Venom Metalloproteinase,Mixed,7.0,Multiple CDRs,A3R0T9.1,8SXP_H,real
Snake Venom Metalloproteinase,Mixed,3.83,CDR-H3,Q5XUW8.1,8SXP_H,real
Snake Venom Serine Protease,Conformational,2.69,CDR-H3,C0HK19.1,4V1D_A,real
Snake Venom Metalloproteinase,Linear,13.08,Multiple CDRs,A8QL49.1,NP_001265042.1,real
Snake Venom Metalloproteinase,Conformational,8.32,Multiple CDRs,V5TBK6.1,9CLP_H,real
Cysteine-Rich Secretory Protein,Mixed,2.68,Multiple CDRs,KAG8124478.1,9B7V_H,real
Phospholipase A2,Broad-spectrum,11.9,Multiple epitopes,SYN_TOX_PLA2_36,SYN_MAB_33_H,synthetic
Cysteine-Rich Secretory Protein,Mixed,9.64,Multiple CDRs,XP_013911769.1,4V1D_B,real
Snake Venom Serine Protease,Linear,78.03,CDR-H3,E0Y420.1,4V1D_D,real
Cysteine-Rich Secretory Protein,Linear,2.57,Multiple CDRs,ATU85541.1,6IOM_B,real
Snake Venom Serine Protease,Linear,22.87,Multiple CDRs,A8QL53.1,1CDR_A,real
Cysteine-Rich Secretory Protein,Linear,29.24,Multiple CDRs,BAP39957.1,1CDR_A,real
Cysteine-Rich Secretory Protein,Conformational,6.75,CDR-H3,XP_026547764.1,1CDQ_A,real
Snake Venom Metalloproteinase,Mixed,12.37,Multiple CDRs,A8QL59.1,9CLP_H,real
Snake Venom Metalloproteinase,Conformational,1.43,CDR-H3,F8S108.1,4V1D_B,real
Kunitz-type Serine Protease Inhibitor,Linear,39.55,Multiple CDRs,AEI52542.1,4V1D_E,real
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,97.8,Multiple epitopes,SYN_TOX_KSPI_19,SYN_MAB_109_H,synthetic
Phospholipase A2,Mixed,39.49,CDR-H3,XCA51265.1,1CDQ_A,real
Disintegrin,Conformational,1.29,Multiple CDRs,AAB30855.1,NP_001424713.1,real
Snake Venom Metalloproteinase,Linear,1.6,CDR-H3,A3R0T9.1,4V1D_D,real
Snake Venom Metalloproteinase,Conformational,12.24,Multiple CDRs,V5TBK6.1,P00740.2,real
Snake Venom Metalloproteinase,Linear,3.06,Multiple CDRs,Q9W7S2.1,NP_000602.1,real
Snake Venom Metalloproteinase,Mixed,11.1,CDR-H3,U5PZ28.1,9CU6_K,real
Snake Venom Metalloproteinase,Mixed,2.73,CDR-H3,P82942.1,9CU6_F,real
Snake Venom Serine Protease,Mixed,1.0,Multiple CDRs,P18965.2,9CLP_H,real
Three-Finger Toxin,Broad-spectrum,313.9,Multiple epitopes,SYN_TOX_3FTx_73,SYN_MAB_98_H,synthetic
Snake Venom Metalloproteinase,Conformational,13.87,Multiple CDRs,P0C7A9.1,1CDQ_A,real
Cysteine-Rich Secretory Protein,Linear,13.43,CDR-H3,XP_032069584.1,4V1D_B,real
Snake Venom Metalloproteinase,Specific,8.8,Catalytic Domain,SYN_TOX_SVMP_65,SYN_MAB_1_H,synthetic
Cysteine-Rich Secretory Protein,Linear,49.05,CDR-H3,XP_013911769.1,1CDS_A,real
Snake Venom Serine Protease,Conformational,78.95,CDR-H3,E0Y421.1,9CLP_L,real
Snake Venom Metalloproteinase,Mixed,8.9,CDR-H3,J3SBP9.1,6IOM_A,real
Snake Venom Serine Protease,Linear,1.5,Multiple CDRs,P0DJF6.1,9CLP_L,real
Disintegrin,Broad-spectrum,118.3,Multiple epitopes,SYN_TOX_DIS_20,SYN_MAB_28_H,synthetic
Kunitz-type Serine Protease Inhibitor,Conformational,5.19,Multiple CDRs,AEI52542.1,9CLP_L,real
Cysteine-Rich Secretory Protein,Linear,6.23,Multiple CDRs,XP_032069593.1,8U9Y_E,real
Cysteine-Rich Secretory Protein,Mixed,16.77,CDR-H3,XP_026568632.1,4V1D_D,real
Kunitz-type Serine Protease Inhibitor,Specific,15.5,Inhibitory Loop,SYN_TOX_KSPI_96,SYN_MAB_101_H,synthetic
Snake Venom Metalloproteinase,Mixed,6.79,Multiple CDRs,P0DM97.1,NP_001424713.1,real
Snake Venom Metalloproteinase,Linear,2.71,CDR-H3,C0HJU2.1,NP_001265043.1,real
Phospholipase A2,Mixed,3.19,Multiple CDRs,AAB36472.1,NP_000602.1,real
Snake Venom Metalloproteinase,Linear,8.97,Multiple CDRs,P0C6R9.2,NP_001265042.1,real
Phospholipase A2,Specific,0.6,Enzymatic Site,SYN_TOX_PLA2_127,SYN_MAB_25_H,synthetic
Cysteine-Rich Secretory Protein,Conformational,39.86,Multiple CDRs,XP_032069593.1,Q9HCN6.4,real
Snake Venom Serine Protease,Conformational,13.18,CDR-H3,Q9I8X1.2,9CLP_C,real
Disintegrin,Linear,6.88,CDR-H3,ABD34835.1,9CU6_G,real
Phospholipase A2,Specific,30.1,Calcium Binding Loop,SYN_TOX_PLA2_127,SYN_MAB_141_H,synthetic
Cysteine-Rich Secretory Protein,Mixed,3.02,CDR-H3,BAP39923.1,1CDR_A,real
Three-Finger Toxin,Specific,7.6,Central Core,SYN_TOX_3FTx_157,SYN_MAB_110_H,synthetic
Cysteine-Rich Secretory Protein,Conformational,1.46,CDR-H3,AAP20602.1,4V1D_A,real
Cysteine-Rich Secretory Protein,Mixed,1.85,CDR-H3,XP_013911769.1,9CLP_C,real
Snake Venom Metalloproteinase,Linear,1.16,CDR-H3,P0DM89.1,4V1D_D,real
Snake Venom Serine Protease,Mixed,58.92,CDR-H3,A7LAC7.1,9CU5_K,real
Phospholipase A2,Conformational,5.04,Multiple CDRs,XCA51214.1,8SXP_H,real
Phospholipase A2,Conformational,3.72,CDR-H3,XCA51370.1,1CDQ_A,real
Snake Venom Metalloproteinase,Conformational,25.96,CDR-H3,A2TK72.1,8SXP_L,real
Snake Venom Serine Protease,Linear,5.17,CDR-H3,P0DJ86.1,NP_000602.1,real
Snake Venom Metalloproteinase,Mixed,15.66,CDR-H3,U5PZ28.1,6IOM_B,real
Snake Venom Serine Protease,Mixed,4.75,Multiple CDRs,P84787.1,1CDR_A,real
Cysteine-Rich Secretory Protein,Mixed,9.67,CDR-H3,AAP20602.1,6ION_A,real
Phospholipase A2,Mixed,3.35,Multiple CDRs,AAB26654.1,4V1D_E,real
Snake Venom Metalloproteinase,Mixed,10.81,CDR-H3,C0L2T8.1,NP_001265042.1,real
Snake Venom Serine Protease,Mixed,33.94,CDR-H3,P81824.2,P00740.2,real
Snake Venom Metalloproteinase,Mixed,17.64,CDR-H3,A2TK72.1,4V1D_B,real
Phospholipase A2,Mixed,13.01,Multiple CDRs,XCA51213.1,9MIB_N,real
Cysteine-Rich Secretory Protein,Linear,3.71,CDR-H3,XP_039185515.1,9CLP_L,real
Snake Venom Serine Protease,Conformational,17.87,Multiple CDRs,Q9YGJ9.1,9CLP_H,real
Phospholipase A2,Specific,10.9,Calcium Binding Loop,SYN_TOX_PLA2_176,SYN_MAB_146_H,synthetic
Cysteine-Rich Secretory Protein,Specific,26.4,CAP Domain,SYN_TOX_CRISP_77,SYN_MAB_32_H,synthetic
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,155.7,Multiple epitopes,SYN_TOX_KSPI_47,SYN_MAB_12_H,synthetic
Cysteine-Rich Secretory Protein,Conformational,5.33,Multiple CDRs,ATU85541.1,9CLP_C,real
Cysteine-Rich Secretory Protein,Linear,2.09,CDR-H3,XP_034288378.1,8SXP_L,real
Snake Venom Serine Protease,Linear,1.13,Multiple CDRs,NP_001310176.1,9MIB_N,real
Disintegrin,Conformational,1.0,Multiple CDRs,AAB22478.1,4V1D_D,real
Snake Venom Metalloproteinase,Linear,4.39,CDR-H3,J3S829.1,8SXP_L,real
Phospholipase A2,Linear,1.83,Multiple CDRs,XCA51214.1,1CDR_A,real
Snake Venom Serine Protease,Conformational,5.99,Multiple CDRs,D8MIA2.1,6IOM_B,real
Snake Venom Serine Protease,Mixed,4.06,CDR-H3,Q27J47.1,4V1D_A,real
Disintegrin,Conformational,5.41,CDR-H3,ABD34834.1,8U9Y_N,real
Phospholipase A2,Mixed,22.02,Multiple CDRs,AAB36471.1,6IOM_A,real
Snake Venom Serine Protease,Mixed,16.8,CDR-H3,P81824.2,9CU6_F,real
Snake Venom Serine Protease,Conformational,51.32,Multiple CDRs,E5L0E4.1,6ION_A,real
Cysteine-Rich Secretory Protein,Linear,12.85,Multiple CDRs,XP_058038736.1,6ION_A,real
Snake Venom Metalloproteinase,Specific,26.4,Catalytic Domain,SYN_TOX_SVMP_128,SYN_MAB_129_H,synthetic
Phospholipase A2,Linear,3.57,Multiple CDRs,AAB33759.1,1CDR_A,real
Phospholipase A2,Broad-spectrum,233.1,Multiple epitopes,SYN_TOX_PLA2_120,SYN_MAB_134_H,synthetic
Snake Venom Metalloproteinase,Linear,12.26,CDR-H3,C0L2T8.1,4V1D_B,real
Snake Venom Serine Protease,Mixed,13.73,Multiple CDRs,P85109.1,6IOM_A,real
Snake Venom Metalloproteinase,Conformational,0.76,CDR-H3,V5TBK6.1,8U9Y_M,real
Cysteine-Rich Secretory Protein,Mixed,8.83,CDR-H3,XP_013911769.1,1CDQ_A,real
Cysteine-Rich Secretory Protein,Specific,27.4,CAP Domain,SYN_TOX_CRISP_196,SYN_MAB_74_H,synthetic
Phospholipase A2,Specific,9.8,Enzymatic Site,SYN_TOX_PLA2_92,SYN_MAB_7_H,synthetic
Cysteine-Rich Secretory Protein,Linear,5.28,CDR-H3,XP_015678374.1,9CU6_E,real
Snake Venom Metalloproteinase,Conformational,6.1,Multiple CDRs,A8QL49.1,NP_000602.1,real
Disintegrin,Broad-spectrum,25.7,Multiple epitopes,SYN_TOX_DIS_160,SYN_MAB_120_H,synthetic
Snake Venom Serine Protease,Conformational,44.38,CDR-H3,P0DJF6.1,9MIB_N,real
Phospholipase A2,Conformational,14.18,CDR-H3,AAB20783.1,4V1D_D,real
Three-Finger Toxin,Broad-spectrum,18.9,Multiple epitopes,SYN_TOX_3FTx_171,SYN_MAB_33_H,synthetic
Snake Venom Metalloproteinase,Conformational,15.18,Multiple CDRs,C0HJU2.1,4V1D_B,real
Snake Venom Serine Protease,Conformational,25.47,Multiple CDRs,E5L0E3.1,Q9HCN6.4,real
Snake Venom Serine Protease,Linear,58.68,CDR-H3,C0HLA3.1,8SXP_L,real
Three-Finger Toxin,Broad-spectrum,282.7,Multiple epitopes,SYN_TOX_3FTx_157,SYN_MAB_33_H,synthetic
Snake Venom Metalloproteinase,Linear,4.75,CDR-H3,J9Z332.1,P00740.2,real
Cysteine-Rich Secretory Protein,Specific,27.1,CAP Domain,SYN_TOX_CRISP_70,SYN_MAB_57_H,synthetic
Phospholipase A2,Specific,4.2,Calcium Binding Loop,SYN_TOX_PLA2_190,SYN_MAB_29_H,synthetic
Snake Venom Metalloproteinase,Linear,5.39,Multiple CDRs,A8QL49.1,9MI0_K,real
Snake Venom Serine Protease,Linear,4.44,CDR-H3,B0ZT25.1,9CU6_J,real
Phospholipase A2,Linear,2.71,Multiple CDRs,AAB28454.1,9CLP_H,real
Disintegrin,Conformational,8.63,Multiple CDRs,AAB30855.1,8SXP_L,real
Cysteine-Rich Secretory Protein,Linear,11.11,CDR-H3,XP_026549114.1,9CLP_H,real
Snake Venom Serine Protease,Conformational,10.66,CDR-H3,P0DJ86.1,P13987.1,real
Phospholipase A2,Conformational,2.56,Multiple CDRs,AAB28455.1,6IOM_A,real
Cysteine-Rich Secretory Protein,Conformational,44.39,CDR-H3,AAP20603.1,6ION_A,real
Cysteine-Rich Secretory Protein,Mixed,3.4,CDR-H3,XP_026568632.1,4V1D_E,real
Snake Venom Metalloproteinase,Mixed,16.26,CDR-H3,F8RKW0.1,Q9HCN6.4,real
Snake Venom Serine Protease,Linear,3.16,CDR-H3,Q5MCS0.1,8SXP_L,real
Snake Venom Serine Protease,Mixed,16.89,CDR-H3,D8MIA2.1,NP_000602.1,real
Snake Venom Metalloproteinase,Mixed,9.79,Multiple CDRs,R4NNL0.1,P13987.1,real
Phospholipase A2,Linear,15.55,Multiple CDRs,XCA51213.1,9CLP_L,real
Snake Venom Serine Protease,Linear,2.58,CDR-H3,A8QL56.1,6IOM_B,real
Disintegrin,Specific,16.4,RGD Motif,SYN_TOX_DIS_55,SYN_MAB_87_H,synthetic
Cysteine-Rich Secretory Protein,Linear,2.48,Multiple CDRs,XP_039185515.1,8SXP_L,real
Snake Venom Metalloproteinase,Mixed,10.05,CDR-H3,U5PZ28.1,9MIA_R,real
Snake Venom Serine Protease,Conformational,3.07,CDR-H3,A7LAC7.1,9CU6_K,real
Cysteine-Rich Secretory Protein,Conformational,1.42,Multiple CDRs,XP_026568632.1,6IOM_B,real
Snake Venom Metalloproteinase,Conformational,27.9,CDR-H3,P0DM89.1,9MIA_N,real
Snake Venom Serine Protease,Mixed,8.15,CDR-H3,P0CJ41.1,4V1D_D,real
Snake Venom Serine Protease,Conformational,32.22,CDR-H3,P0DJ86.1,9CLP_C,real
Phospholipase A2,Mixed,36.17,CDR-H3,AAB36472.1,4V1D_D,real
Snake Venom Metalloproteinase,Linear,10.83,CDR-H3,F8RKW0.1,P00740.2,real
Snake Venom Metalloproteinase,Mixed,10.0,CDR-H3,P0C6R9.2,NP_001424713.1,real
Cysteine-Rich Secretory Protein,Linear,2.17,CDR-H3,BAP39923.1,4V1D_D,real
Snake Venom Metalloproteinase,Linear,1.39,Multiple CDRs,A3R0T9.1,9CLP_C,real
Cysteine-Rich Secretory Protein,Conformational,39.13,CDR-H3,XP_026546646.1,9MI0_R,real
Snake Venom Serine Protease,Mixed,7.79,CDR-H3,E5L0E6.1,9CLP_H,real
Snake Venom Serine Protease,Mixed,16.84,Multiple CDRs,E5L0E3.1,4V1D_B,real
Snake Venom Serine Protease,Conformational,19.57,Multiple CDRs,Q5MCS0.1,9MI0_L,real
Snake Venom Serine Protease,Conformational,11.25,Multiple CDRs,Q9YGJ9.1,9CLP_L,real
Disintegrin,Linear,2.36,Multiple CDRs,AAB22478.1,1CDS_A,real
Phospholipase A2,Conformational,3.0,Multiple CDRs,AAB20783.1,9CU5_D,real
Snake Venom Metalloproteinase,Mixed,11.71,Multiple CDRs,P0DM97.1,6IOM_B,real
Phospholipase A2,Linear,1.97,Multiple CDRs,XCA51350.1,6IOM_A,real
Snake Venom Serine Protease,Conformational,10.17,CDR-H3,A0A1I9KNP0.1,1CDQ_A,real
Snake Venom Metalloproteinase,Conformational,6.07,CDR-H3,A3R0T9.1,9CLP_L,real
Cysteine-Rich Secretory Protein,Mixed,14.46,Multiple CDRs,AAL54896.1,8SXP_L,real
Disintegrin,Conformational,58.14,Multiple CDRs,AAB27210.1,9CU5_D,real
Snake Venom Metalloproteinase,Broad-spectrum,339.1,Multiple epitopes,SYN_TOX_SVMP_121,SYN_MAB_28_H,synthetic
Snake Venom Metalloproteinase,Linear,14.97,CDR-H3,P0C6R9.2,4V1D_E,real
Snake Venom Metalloproteinase,Linear,34.11,Multiple CDRs,A8QL49.1,NP_001455.3,real
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,52.6,Multiple epitopes,SYN_TOX_KSPI_47,SYN_MAB_43_H,synthetic
Disintegrin,Mixed,13.83,Multiple CDRs,ABD34835.1,1CDS_A,real
Snake Venom Serine Protease,Mixed,2.76,CDR-H3,Q9YGJ9.1,9CU5_F,real
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,234.7,Multiple epitopes,SYN_TOX_KSPI_47,SYN_MAB_56_H,synthetic
Phospholipase A2,Linear,4.83,Multiple CDRs,AAB25792.1,4V1D_E,real
Snake Venom Metalloproteinase,Conformational,4.52,CDR-H3,J9Z332.1,1CDS_A,real
Snake Venom Serine Protease,Conformational,4.48,Multiple CDRs,E0Y419.1,9CLP_L,real
Snake Venom Metalloproteinase,Broad-spectrum,456.7,Multiple epitopes,SYN_TOX_SVMP_44,SYN_MAB_107_H,synthetic
Snake Venom Metalloproteinase,Conformational,6.32,Multiple CDRs,Q9PW36.1,4V1D_E,real
Cysteine-Rich Secretory Protein,Conformational,7.53,Multiple CDRs,XP_015678374.1,4V1D_D,real
Three-Finger Toxin,Specific,11.3,Central Core,SYN_TOX_3FTx_178,SYN_MAB_16_H,synthetic
Snake Venom Serine Protease,Conformational,6.34,CDR-H3,C0HLA3.1,P00740.2,real
Kunitz-type Serine Protease Inhibitor,Specific,20.4,Inhibitory Loop,SYN_TOX_KSPI_117,SYN_MAB_66_H,synthetic
Snake Venom Serine Protease,Mixed,7.15,CDR-H3,B0FXM2.1,1CDS_A,real
Phospholipase A2,Mixed,29.42,CDR-H3,AAB28455.1,1CDR_A,real
Snake Venom Serine Protease,Linear,4.64,Multiple CDRs,P0CJ41.1,1CDQ_A,real
Snake Venom Serine Protease,Mixed,0.59,CDR-H3,Q5MCS0.1,4V1D_E,real
Snake Venom Serine Protease,Conformational,7.1,Multiple CDRs,E0Y419.1,4V1D_B,real
Snake Venom Serine Protease,Linear,12.6,CDR-H3,E5L0E3.1,4V1D_E,real
Disintegrin,Mixed,0.87,CDR-H3,P34182.1,9CLP_H,real
Snake Venom Serine Protease,Mixed,3.6,Multiple CDRs,P0C5B4.2,4V1D_B,real
Snake Venom Serine Protease,Conformational,5.62,Multiple CDRs,B5U6Y3.1,P00740.2,real
Cysteine-Rich Secretory Protein,Linear,44.7,CDR-H3,XP_034288378.1,P13987.1,real
Snake Venom Metalloproteinase,Broad-spectrum,127.8,Multiple epitopes,SYN_TOX_SVMP_58,SYN_MAB_40_H,synthetic
Snake Venom Serine Protease,Mixed,3.07,Multiple CDRs,C0HK19.1,1CDQ_A,real
Cysteine-Rich Secretory Protein,Linear,2.76,Multiple CDRs,XP_039185515.1,6ION_A,real
Snake Venom Serine Protease,Linear,16.28,Multiple CDRs,B5U6Y3.1,9CLP_C,real
Snake Venom Serine Protease,Mixed,15.21,CDR-H3,P85109.1,4V1D_D,real
Cysteine-Rich Secretory Protein,Linear,3.43,Multiple CDRs,XP_034288378.1,4V1D_E,real
Snake Venom Metalloproteinase,Conformational,3.87,Multiple CDRs,P0C6R9.2,P13987.1,real
Snake Venom Serine Protease,Conformational,22.37,Multiple CDRs,E0Y420.1,9CLP_H,real
Snake Venom Metalloproteinase,Conformational,4.54,Multiple CDRs,J3S830.1,NP_001455.3,real
Snake Venom Metalloproteinase,Linear,2.58,Multiple CDRs,Q698K8.3,NP_001265042.1,real
Snake Venom Metalloproteinase,Conformational,12.76,CDR-H3,A2TK72.1,Q9HCN6.4,real
Cysteine-Rich Secretory Protein,Conformational,7.75,CDR-H3,AAL54918.1,6IOM_B,real
Snake Venom Metalloproteinase,Linear,16.64,Multiple CDRs,P0DQT6.1,4V1D_A,real
Snake Venom Serine Protease,Conformational,126.78,Multiple CDRs,B0FXM2.1,8SXP_L,real
Kunitz-type Serine Protease Inhibitor,Specific,22.8,Inhibitory Loop,SYN_TOX_KSPI_68,SYN_MAB_101_H,synthetic
Cysteine-Rich Secretory Protein,Specific,3.7,CAP Domain,SYN_TOX_CRISP_84,SYN_MAB_97_H,synthetic
Snake Venom Metalloproteinase,Linear,36.16,CDR-H3,Q90ZI3.1,1CDR_A,real
Snake Venom Serine Protease,Conformational,1.83,Multiple CDRs,Q072L6.1,6IOM_B,real
Cysteine-Rich Secretory Protein,Conformational,13.62,Multiple CDRs,AAP20603.1,1CDQ_A,real
Snake Venom Serine Protease,Linear,10.74,Multiple CDRs,A8QL53.1,4V1D_A,real
Disintegrin,Conformational,1.19,Multiple CDRs,AAB30855.1,4V1D_B,real
Snake Venom Serine Protease,Conformational,15.47,CDR-H3,Q27J47.1,Q9HCN6.4,real
Snake Venom Serine Protease,Conformational,17.62,CDR-H3,O93421.2,6IOM_B,real
Snake Venom Metalloproteinase,Linear,4.93,CDR-H3,J3S829.1,9CU5_G,real
Cysteine-Rich Secretory Protein,Mixed,4.76,CDR-H3,XP_039190748.1,8SXP_H,real
Phospholipase A2,Broad-spectrum,191.6,Multiple epitopes,SYN_TOX_PLA2_71,SYN_MAB_81_H,synthetic
Snake Venom Metalloproteinase,Linear,6.57,Multiple CDRs,A8QL59.1,1CDS_A,real
Kunitz-type Serine Protease Inhibitor,Conformational,5.19,Multiple CDRs,AEI52542.1,8U9Y_F,real
Phospholipase A2,Linear,10.36,Multiple CDRs,AAB25792.1,9CLP_L,real
Snake Venom Serine Protease,Linear,4.94,Multiple CDRs,E0Y421.1,4V1D_E,real
Phospholipase A2,Mixed,4.52,Multiple CDRs,XCA51350.1,8SXP_L,real
Phospholipase A2,Mixed,15.36,CDR-H3,AAB33759.1,8SXP_L,real
Snake Venom Serine Protease,Mixed,45.99,CDR-H3,E0Y418.1,9B7V_L,real
Cysteine-Rich Secretory Protein,Conformational,14.94,CDR-H3,XP_034288378.1,1CDQ_A,real
Disintegrin,Broad-spectrum,105.9,Multiple epitopes,SYN_TOX_DIS_111,SYN_MAB_134_H,synthetic
Snake Venom Metalloproteinase,Conformational,37.04,CDR-H3,P0DM97.1,1CDS_A,real
Three-Finger Toxin,Broad-spectrum,199.5,Multiple epitopes,SYN_TOX_3FTx_31,SYN_MAB_43_H,synthetic
Phospholipase A2,Conformational,23.84,Multiple CDRs,AAB24834.1,8SXP_L,real
Snake Venom Serine Protease,Linear,8.84,Multiple CDRs,P18965.2,6IOM_A,real
Phospholipase A2,Mixed,2.73,Multiple CDRs,XCA51350.1,8TO9_C,real
Cysteine-Rich Secretory Protein,Broad-spectrum,119.7,Multiple epitopes,SYN_TOX_CRISP_21,SYN_MAB_91_H,synthetic
Three-Finger Toxin,Specific,9.7,Loop I,SYN_TOX_3FTx_66,SYN_MAB_132_H,synthetic
Three-Finger Toxin,Broad-spectrum,88.1,Multiple epitopes,SYN_TOX_3FTx_73,SYN_MAB_28_H,synthetic
Snake Venom Serine Protease,Linear,7.33,CDR-H3,P0DJF6.1,1CDQ_A,real
Cysteine-Rich Secretory Protein,Conformational,7.13,Multiple CDRs,AAL54896.1,4V1D_E,real
Phospholipase A2,Specific,9.7,Enzymatic Site,SYN_TOX_PLA2_134,SYN_MAB_45_H,synthetic
Snake Venom Metalloproteinase,Linear,3.5,CDR-H3,P82942.1,NP_000602.1,real
Phospholipase A2,Mixed,2.77,Multiple CDRs,XCA51265.1,6IOM_B,real
Cysteine-Rich Secretory Protein,Mixed,5.23,CDR-H3,XP_039204466.1,6IOM_B,real
Snake Venom Serine Protease,Mixed,45.53,Multiple CDRs,A8QL57.1,9CLP_C,real
Phospholipase A2,Linear,10.44,CDR-H3,XCA51265.1,P00740.2,real
Disintegrin,Conformational,3.76,Multiple CDRs,ABD34835.1,P13987.1,real
Snake Venom Metalloproteinase,Mixed,2.86,Multiple CDRs,P17347.3,P00740.2,real
