toxin_id,toxin_type,antibody_id,binding_affinity_nM,neutralization_percentage,binding_type,binding_site,species
U5PZ28.1,Snake Venom Metalloproteinase,6IOM_B,15.66,22.8,Mixed,CDR-H3,Bothriechis lateralis
U5PZ28.1,Snake Venom Metalloproteinase,6IOM_A,5.25,64.5,Conformational,Multiple CDRs,Bothriechis lateralis
U5PZ28.1,Snake Venom Metalloproteinase,1CDS_A,6.4,58.6,Linear,Multiple CDRs,Bothriechis lateralis
U5PZ28.1,Snake Venom Metalloproteinase,NP_001265043.1,5.5,58.0,Linear,Multiple CDRs,Bothriechis lateralis
U5PZ28.1,Snake Venom Metalloproteinase,NP_001455.3,1.83,94.5,Conformational,Multiple CDRs,Bothriechis lateralis
U5PZ28.1,Snake Venom Metalloproteinase,8SXP_H,2.66,94.7,Conformational,CDR-H3,Bothriechis lateralis
U5PZ28.1,Snake Venom Metalloproteinase,8SXP_L,8.46,72.9,Mixed,Multiple CDRs,Bothriechis lateralis
U5PZ28.1,Snake Venom Metalloproteinase,4V1D_E,6.22,79.5,Linear,Multiple CDRs,Bothriechis lateralis
U5PZ28.1,Snake Venom Metalloproteinase,4V1D_D,9.25,48.6,Conformational,Multiple CDRs,Bothriechis lateralis
U5PZ28.1,Snake Venom Metalloproteinase,4V1D_B,0.61,97.4,Mixed,CDR-H3,Bothriechis lateralis
U5PZ28.1,Snake Venom Metalloproteinase,4V1D_A,1.94,100.0,Conformational,CDR-H3,Bothriechis lateralis
U5PZ28.1,Snake Venom Metalloproteinase,1CDR_A,4.66,67.2,Mixed,Multiple CDRs,Bothriechis lateralis
J9Z332.1,Snake Venom Metalloproteinase,9MI0_N,17.22,20.4,Linear,CDR-H3,Crotalus adamanteus
J9Z332.1,Snake Venom Metalloproteinase,9CU6_K,20.24,10.6,Mixed,Multiple CDRs,Crotalus adamanteus
J9Z332.1,Snake Venom Metalloproteinase,9CU5_D,10.64,16.1,Linear,CDR-H3,Crotalus adamanteus
J9Z332.1,Snake Venom Metalloproteinase,8U9Y_N,2.55,81.0,Linear,CDR-H3,Crotalus adamanteus
J9Z332.1,Snake Venom Metalloproteinase,8TO9_B,9.26,62.2,Conformational,CDR-H3,Crotalus adamanteus
J9Z332.1,Snake Venom Metalloproteinase,9CLP_L,6.6,50.8,Mixed,Multiple CDRs,Crotalus adamanteus
J9Z332.1,Snake Venom Metalloproteinase,9CLP_H,5.37,72.8,Linear,CDR-H3,Crotalus adamanteus
J9Z332.1,Snake Venom Metalloproteinase,9CLP_C,0.29,100.0,Conformational,Multiple CDRs,Crotalus adamanteus
J9Z332.1,Snake Venom Metalloproteinase,NP_000602.1,13.65,33.0,Mixed,CDR-H3,Crotalus adamanteus
J9Z332.1,Snake Venom Metalloproteinase,NP_001265042.1,8.31,53.9,Mixed,CDR-H3,Crotalus adamanteus
J9Z332.1,Snake Venom Metalloproteinase,P13987.1,4.79,86.5,Mixed,Multiple CDRs,Crotalus adamanteus
J9Z332.1,Snake Venom Metalloproteinase,NP_001424713.1,3.74,88.0,Linear,Multiple CDRs,Crotalus adamanteus
J9Z332.1,Snake Venom Metalloproteinase,Q9HCN6.4,28.23,0.0,Linear,Multiple CDRs,Crotalus adamanteus
J9Z332.1,Snake Venom Metalloproteinase,P00740.2,4.75,67.8,Linear,CDR-H3,Crotalus adamanteus
J9Z332.1,Snake Venom Metalloproteinase,1CDQ_A,1.5,80.8,Linear,CDR-H3,Crotalus adamanteus
J9Z332.1,Snake Venom Metalloproteinase,6ION_A,6.34,63.5,Linear,Multiple CDRs,Crotalus adamanteus
J9Z332.1,Snake Venom Metalloproteinase,6IOM_B,7.98,59.5,Mixed,Multiple CDRs,Crotalus adamanteus
J9Z332.1,Snake Venom Metalloproteinase,6IOM_A,10.59,34.8,Mixed,CDR-H3,Crotalus adamanteus
J9Z332.1,Snake Venom Metalloproteinase,1CDS_A,4.52,77.6,Conformational,CDR-H3,Crotalus adamanteus
J9Z332.1,Snake Venom Metalloproteinase,NP_001265043.1,1.45,100.0,Mixed,CDR-H3,Crotalus adamanteus
J9Z332.1,Snake Venom Metalloproteinase,NP_001455.3,1.93,90.0,Conformational,CDR-H3,Crotalus adamanteus
J9Z332.1,Snake Venom Metalloproteinase,8SXP_H,24.79,0.0,Conformational,CDR-H3,Crotalus adamanteus
J9Z332.1,Snake Venom Metalloproteinase,8SXP_L,12.53,38.6,Linear,Multiple CDRs,Crotalus adamanteus
J9Z332.1,Snake Venom Metalloproteinase,4V1D_E,6.14,64.6,Conformational,CDR-H3,Crotalus adamanteus
J9Z332.1,Snake Venom Metalloproteinase,4V1D_D,2.47,86.4,Linear,CDR-H3,Crotalus adamanteus
J9Z332.1,Snake Venom Metalloproteinase,4V1D_B,99.61,0.0,Linear,CDR-H3,Crotalus adamanteus
J9Z332.1,Snake Venom Metalloproteinase,4V1D_A,21.92,0.0,Mixed,Multiple CDRs,Crotalus adamanteus
J9Z332.1,Snake Venom Metalloproteinase,1CDR_A,9.32,68.4,Mixed,Multiple CDRs,Crotalus adamanteus
6IMF_A,Cysteine-Rich Secretory Protein,9MII_H,2.08,90.4,Conformational,CDR-H3,Protobothrops flavoviridis
6IMF_A,Cysteine-Rich Secretory Protein,8TO9_B,2.51,84.2,Conformational,Multiple CDRs,Protobothrops flavoviridis
6IMF_A,Cysteine-Rich Secretory Protein,8TO9_A,3.05,82.8,Linear,Multiple CDRs,Protobothrops flavoviridis
6IMF_A,Cysteine-Rich Secretory Protein,9CLP_L,5.27,78.1,Linear,CDR-H3,Protobothrops flavoviridis
6IMF_A,Cysteine-Rich Secretory Protein,9CLP_H,2.54,89.8,Mixed,CDR-H3,Protobothrops flavoviridis
6IMF_A,Cysteine-Rich Secretory Protein,9CLP_C,4.26,96.6,Mixed,CDR-H3,Protobothrops flavoviridis
6IMF_A,Cysteine-Rich Secretory Protein,NP_000602.1,3.44,66.1,Conformational,CDR-H3,Protobothrops flavoviridis
6IMF_A,Cysteine-Rich Secretory Protein,P13987.1,2.01,96.6,Linear,Multiple CDRs,Protobothrops flavoviridis
6IMF_A,Cysteine-Rich Secretory Protein,Q9HCN6.4,6.63,59.4,Conformational,Multiple CDRs,Protobothrops flavoviridis
6IMF_A,Cysteine-Rich Secretory Protein,P00740.2,30.95,0.0,Mixed,Multiple CDRs,Protobothrops flavoviridis
6IMF_A,Cysteine-Rich Secretory Protein,1CDQ_A,11.79,45.6,Mixed,Multiple CDRs,Protobothrops flavoviridis
6IMF_A,Cysteine-Rich Secretory Protein,6ION_A,7.93,72.2,Conformational,Multiple CDRs,Protobothrops flavoviridis
6IMF_A,Cysteine-Rich Secretory Protein,6IOM_B,12.31,30.0,Conformational,CDR-H3,Protobothrops flavoviridis
6IMF_A,Cysteine-Rich Secretory Protein,6IOM_A,4.57,57.3,Linear,Multiple CDRs,Protobothrops flavoviridis
6IMF_A,Cysteine-Rich Secretory Protein,1CDS_A,7.15,48.6,Conformational,Multiple CDRs,Protobothrops flavoviridis
6IMF_A,Cysteine-Rich Secretory Protein,8SXP_H,44.06,0.0,Linear,Multiple CDRs,Protobothrops flavoviridis
6IMF_A,Cysteine-Rich Secretory Protein,8SXP_L,12.54,37.5,Conformational,CDR-H3,Protobothrops flavoviridis
6IMF_A,Cysteine-Rich Secretory Protein,4V1D_E,4.2,85.9,Conformational,CDR-H3,Protobothrops flavoviridis
6IMF_A,Cysteine-Rich Secretory Protein,4V1D_D,24.01,0.0,Conformational,Multiple CDRs,Protobothrops flavoviridis
6IMF_A,Cysteine-Rich Secretory Protein,4V1D_B,0.99,86.6,Conformational,Multiple CDRs,Protobothrops flavoviridis
6IMF_A,Cysteine-Rich Secretory Protein,4V1D_A,14.2,32.8,Linear,Multiple CDRs,Protobothrops flavoviridis
6IMF_A,Cysteine-Rich Secretory Protein,1CDR_A,7.29,66.2,Conformational,Multiple CDRs,Protobothrops flavoviridis
A0A1I9KNP0.1,Snake Venom Serine Protease,9MIH_L,3.15,88.5,Conformational,CDR-H3,Vipera ammodytes ammodytes
A0A1I9KNP0.1,Snake Venom Serine Protease,9MIA_H,2.86,89.0,Linear,CDR-H3,Vipera ammodytes ammodytes
A0A1I9KNP0.1,Snake Venom Serine Protease,9MI0_N,13.11,38.1,Conformational,CDR-H3,Vipera ammodytes ammodytes
A0A1I9KNP0.1,Snake Venom Serine Protease,9MI0_K,4.13,85.1,Linear,CDR-H3,Vipera ammodytes ammodytes
A0A1I9KNP0.1,Snake Venom Serine Protease,9CU6_K,56.17,0.0,Linear,CDR-H3,Vipera ammodytes ammodytes
A0A1I9KNP0.1,Snake Venom Serine Protease,9CLP_L,16.52,24.0,Mixed,CDR-H3,Vipera ammodytes ammodytes
A0A1I9KNP0.1,Snake Venom Serine Protease,9CLP_H,3.82,94.0,Conformational,CDR-H3,Vipera ammodytes ammodytes
A0A1I9KNP0.1,Snake Venom Serine Protease,9CLP_C,27.36,0.0,Conformational,CDR-H3,Vipera ammodytes ammodytes
A0A1I9KNP0.1,Snake Venom Serine Protease,NP_000602.1,6.9,86.4,Linear,CDR-H3,Vipera ammodytes ammodytes
A0A1I9KNP0.1,Snake Venom Serine Protease,P13987.1,2.22,79.5,Linear,Multiple CDRs,Vipera ammodytes ammodytes
A0A1I9KNP0.1,Snake Venom Serine Protease,Q9HCN6.4,36.3,0.0,Linear,CDR-H3,Vipera ammodytes ammodytes
A0A1I9KNP0.1,Snake Venom Serine Protease,P00740.2,19.69,9.8,Mixed,CDR-H3,Vipera ammodytes ammodytes
A0A1I9KNP0.1,Snake Venom Serine Protease,1CDQ_A,10.17,46.3,Conformational,CDR-H3,Vipera ammodytes ammodytes
A0A1I9KNP0.1,Snake Venom Serine Protease,6ION_A,2.37,91.9,Conformational,CDR-H3,Vipera ammodytes ammodytes
A0A1I9KNP0.1,Snake Venom Serine Protease,6IOM_B,26.39,0.0,Linear,Multiple CDRs,Vipera ammodytes ammodytes
A0A1I9KNP0.1,Snake Venom Serine Protease,6IOM_A,5.5,65.7,Conformational,CDR-H3,Vipera ammodytes ammodytes
A0A1I9KNP0.1,Snake Venom Serine Protease,1CDS_A,4.45,83.7,Linear,CDR-H3,Vipera ammodytes ammodytes
A0A1I9KNP0.1,Snake Venom Serine Protease,8SXP_H,9.27,44.0,Mixed,Multiple CDRs,Vipera ammodytes ammodytes
A0A1I9KNP0.1,Snake Venom Serine Protease,8SXP_L,9.7,41.4,Conformational,Multiple CDRs,Vipera ammodytes ammodytes
A0A1I9KNP0.1,Snake Venom Serine Protease,4V1D_E,8.73,61.0,Mixed,CDR-H3,Vipera ammodytes ammodytes
A0A1I9KNP0.1,Snake Venom Serine Protease,4V1D_D,1.84,89.6,Linear,Multiple CDRs,Vipera ammodytes ammodytes
A0A1I9KNP0.1,Snake Venom Serine Protease,4V1D_B,11.5,47.5,Conformational,Multiple CDRs,Vipera ammodytes ammodytes
A0A1I9KNP0.1,Snake Venom Serine Protease,4V1D_A,4.72,70.2,Conformational,CDR-H3,Vipera ammodytes ammodytes
A0A1I9KNP0.1,Snake Venom Serine Protease,1CDR_A,4.26,85.0,Linear,Multiple CDRs,Vipera ammodytes ammodytes
P0DM87.1,Snake Venom Metalloproteinase,9MI0_L,10.23,45.5,Conformational,CDR-H3,Trimeresurus stejnegeri
P0DM87.1,Snake Venom Metalloproteinase,9CU6_G,1.27,100.0,Linear,CDR-H3,Trimeresurus stejnegeri
P0DM87.1,Snake Venom Metalloproteinase,9CU6_D,7.22,66.8,Conformational,CDR-H3,Trimeresurus stejnegeri
P0DM87.1,Snake Venom Metalloproteinase,8TO9_J,9.18,62.8,Conformational,CDR-H3,Trimeresurus stejnegeri
P0DM87.1,Snake Venom Metalloproteinase,9CLP_L,6.27,59.0,Mixed,Multiple CDRs,Trimeresurus stejnegeri
P0DM87.1,Snake Venom Metalloproteinase,9CLP_H,4.51,65.4,Conformational,Multiple CDRs,Trimeresurus stejnegeri
P0DM87.1,Snake Venom Metalloproteinase,9CLP_C,3.69,86.0,Conformational,Multiple CDRs,Trimeresurus stejnegeri
P0DM87.1,Snake Venom Metalloproteinase,NP_000602.1,6.99,61.8,Mixed,Multiple CDRs,Trimeresurus stejnegeri
P0DM87.1,Snake Venom Metalloproteinase,NP_001265042.1,4.91,73.9,Linear,CDR-H3,Trimeresurus stejnegeri
P0DM87.1,Snake Venom Metalloproteinase,P13987.1,7.27,67.5,Linear,Multiple CDRs,Trimeresurus stejnegeri
P0DM87.1,Snake Venom Metalloproteinase,NP_001424713.1,18.85,0.0,Conformational,Multiple CDRs,Trimeresurus stejnegeri
P0DM87.1,Snake Venom Metalloproteinase,Q9HCN6.4,6.47,59.4,Mixed,Multiple CDRs,Trimeresurus stejnegeri
P0DM87.1,Snake Venom Metalloproteinase,P00740.2,6.52,55.2,Conformational,Multiple CDRs,Trimeresurus stejnegeri
P0DM87.1,Snake Venom Metalloproteinase,1CDQ_A,4.01,63.9,Linear,CDR-H3,Trimeresurus stejnegeri
P0DM87.1,Snake Venom Metalloproteinase,6ION_A,0.14,100.0,Conformational,Multiple CDRs,Trimeresurus stejnegeri
P0DM87.1,Snake Venom Metalloproteinase,6IOM_B,7.58,71.8,Conformational,Multiple CDRs,Trimeresurus stejnegeri
P0DM87.1,Snake Venom Metalloproteinase,6IOM_A,16.19,11.0,Conformational,Multiple CDRs,Trimeresurus stejnegeri
P0DM87.1,Snake Venom Metalloproteinase,1CDS_A,66.31,0.0,Conformational,CDR-H3,Trimeresurus stejnegeri
P0DM87.1,Snake Venom Metalloproteinase,NP_001265043.1,4.78,74.8,Conformational,Multiple CDRs,Trimeresurus stejnegeri
P0DM87.1,Snake Venom Metalloproteinase,NP_001455.3,8.22,55.0,Conformational,Multiple CDRs,Trimeresurus stejnegeri
P0DM87.1,Snake Venom Metalloproteinase,8SXP_H,15.8,23.0,Linear,Multiple CDRs,Trimeresurus stejnegeri
P0DM87.1,Snake Venom Metalloproteinase,8SXP_L,9.16,52.1,Conformational,CDR-H3,Trimeresurus stejnegeri
P0DM87.1,Snake Venom Metalloproteinase,4V1D_E,5.07,71.7,Conformational,Multiple CDRs,Trimeresurus stejnegeri
P0DM87.1,Snake Venom Metalloproteinase,4V1D_D,26.99,0.0,Conformational,CDR-H3,Trimeresurus stejnegeri
P0DM87.1,Snake Venom Metalloproteinase,4V1D_B,33.71,0.0,Linear,CDR-H3,Trimeresurus stejnegeri
P0DM87.1,Snake Venom Metalloproteinase,4V1D_A,2.76,69.0,Mixed,CDR-H3,Trimeresurus stejnegeri
P0DM87.1,Snake Venom Metalloproteinase,1CDR_A,6.12,68.4,Mixed,CDR-H3,Trimeresurus stejnegeri
BAP39923.1,Cysteine-Rich Secretory Protein,9MIA_N,18.44,10.0,Mixed,Multiple CDRs,Protobothrops elegans
BAP39923.1,Cysteine-Rich Secretory Protein,9MIA_H,14.98,28.4,Conformational,Multiple CDRs,Protobothrops elegans
BAP39923.1,Cysteine-Rich Secretory Protein,9B7V_H,12.86,31.1,Linear,CDR-H3,Protobothrops elegans
BAP39923.1,Cysteine-Rich Secretory Protein,8U9Y_N,12.46,49.0,Conformational,Multiple CDRs,Protobothrops elegans
BAP39923.1,Cysteine-Rich Secretory Protein,8TO9_Z,5.94,75.4,Conformational,CDR-H3,Protobothrops elegans
BAP39923.1,Cysteine-Rich Secretory Protein,9CLP_L,10.43,40.1,Mixed,CDR-H3,Protobothrops elegans
BAP39923.1,Cysteine-Rich Secretory Protein,9CLP_H,41.19,0.0,Conformational,CDR-H3,Protobothrops elegans
BAP39923.1,Cysteine-Rich Secretory Protein,9CLP_C,2.92,81.1,Linear,CDR-H3,Protobothrops elegans
BAP39923.1,Cysteine-Rich Secretory Protein,NP_000602.1,4.91,82.3,Linear,CDR-H3,Protobothrops elegans
BAP39923.1,Cysteine-Rich Secretory Protein,P13987.1,12.93,32.6,Mixed,Multiple CDRs,Protobothrops elegans
BAP39923.1,Cysteine-Rich Secretory Protein,Q9HCN6.4,3.27,91.9,Conformational,Multiple CDRs,Protobothrops elegans
BAP39923.1,Cysteine-Rich Secretory Protein,P00740.2,5.84,55.4,Conformational,CDR-H3,Protobothrops elegans
BAP39923.1,Cysteine-Rich Secretory Protein,1CDQ_A,4.06,81.2,Conformational,Multiple CDRs,Protobothrops elegans
BAP39923.1,Cysteine-Rich Secretory Protein,6ION_A,17.78,17.7,Linear,Multiple CDRs,Protobothrops elegans
BAP39923.1,Cysteine-Rich Secretory Protein,6IOM_B,0.47,100.0,Conformational,Multiple CDRs,Protobothrops elegans
BAP39923.1,Cysteine-Rich Secretory Protein,6IOM_A,1.91,80.1,Mixed,Multiple CDRs,Protobothrops elegans
BAP39923.1,Cysteine-Rich Secretory Protein,1CDS_A,1.56,98.1,Linear,CDR-H3,Protobothrops elegans
BAP39923.1,Cysteine-Rich Secretory Protein,8SXP_H,5.52,70.0,Linear,CDR-H3,Protobothrops elegans
BAP39923.1,Cysteine-Rich Secretory Protein,8SXP_L,9.77,43.8,Mixed,Multiple CDRs,Protobothrops elegans
BAP39923.1,Cysteine-Rich Secretory Protein,4V1D_E,6.58,73.0,Mixed,Multiple CDRs,Protobothrops elegans
BAP39923.1,Cysteine-Rich Secretory Protein,4V1D_D,2.17,100.0,Linear,CDR-H3,Protobothrops elegans
BAP39923.1,Cysteine-Rich Secretory Protein,4V1D_B,10.4,42.5,Conformational,CDR-H3,Protobothrops elegans
BAP39923.1,Cysteine-Rich Secretory Protein,4V1D_A,10.68,41.7,Linear,CDR-H3,Protobothrops elegans
BAP39923.1,Cysteine-Rich Secretory Protein,1CDR_A,3.02,88.4,Mixed,CDR-H3,Protobothrops elegans
D8MIA2.1,Snake Venom Serine Protease,9MIB_L,7.6,72.7,Linear,CDR-H3,Bitis rhinoceros
D8MIA2.1,Snake Venom Serine Protease,9CU5_G,11.92,46.3,Mixed,CDR-H3,Bitis rhinoceros
D8MIA2.1,Snake Venom Serine Protease,9CLP_L,18.44,7.7,Linear,Multiple CDRs,Bitis rhinoceros
D8MIA2.1,Snake Venom Serine Protease,9CLP_H,20.31,0.0,Linear,CDR-H3,Bitis rhinoceros
D8MIA2.1,Snake Venom Serine Protease,9CLP_C,4.08,72.6,Linear,Multiple CDRs,Bitis rhinoceros
D8MIA2.1,Snake Venom Serine Protease,NP_000602.1,16.89,15.8,Mixed,CDR-H3,Bitis rhinoceros
D8MIA2.1,Snake Venom Serine Protease,P13987.1,13.06,35.3,Mixed,Multiple CDRs,Bitis rhinoceros
D8MIA2.1,Snake Venom Serine Protease,Q9HCN6.4,3.95,67.4,Mixed,Multiple CDRs,Bitis rhinoceros
D8MIA2.1,Snake Venom Serine Protease,P00740.2,19.73,11.5,Mixed,Multiple CDRs,Bitis rhinoceros
D8MIA2.1,Snake Venom Serine Protease,1CDQ_A,2.78,63.4,Conformational,CDR-H3,Bitis rhinoceros
D8MIA2.1,Snake Venom Serine Protease,6ION_A,4.35,78.7,Conformational,Multiple CDRs,Bitis rhinoceros
D8MIA2.1,Snake Venom Serine Protease,6IOM_B,5.99,67.1,Conformational,Multiple CDRs,Bitis rhinoceros
D8MIA2.1,Snake Venom Serine Protease,6IOM_A,13.17,51.6,Conformational,Multiple CDRs,Bitis rhinoceros
D8MIA2.1,Snake Venom Serine Protease,1CDS_A,5.11,68.6,Mixed,CDR-H3,Bitis rhinoceros
D8MIA2.1,Snake Venom Serine Protease,8SXP_H,2.77,90.8,Mixed,Multiple CDRs,Bitis rhinoceros
D8MIA2.1,Snake Venom Serine Protease,8SXP_L,7.55,55.8,Mixed,Multiple CDRs,Bitis rhinoceros
D8MIA2.1,Snake Venom Serine Protease,4V1D_E,8.24,61.1,Linear,CDR-H3,Bitis rhinoceros
D8MIA2.1,Snake Venom Serine Protease,4V1D_D,12.81,42.6,Linear,Multiple CDRs,Bitis rhinoceros
D8MIA2.1,Snake Venom Serine Protease,4V1D_B,2.46,100.0,Conformational,Multiple CDRs,Bitis rhinoceros
D8MIA2.1,Snake Venom Serine Protease,4V1D_A,5.47,82.9,Mixed,Multiple CDRs,Bitis rhinoceros
D8MIA2.1,Snake Venom Serine Protease,1CDR_A,2.59,92.9,Mixed,Multiple CDRs,Bitis rhinoceros
AAB33760.1,Phospholipase A2,9MIH_L,33.21,0.0,Mixed,Multiple CDRs,Oxyuranus scutellatus
AAB33760.1,Phospholipase A2,9MIA_L,0.92,79.5,Linear,CDR-H3,Oxyuranus scutellatus
AAB33760.1,Phospholipase A2,9CU5_K,7.28,61.9,Linear,Multiple CDRs,Oxyuranus scutellatus
AAB33760.1,Phospholipase A2,9CU5_D,1.05,100.0,Conformational,CDR-H3,Oxyuranus scutellatus
AAB33760.1,Phospholipase A2,8U9Y_M,7.05,65.1,Mixed,Multiple CDRs,Oxyuranus scutellatus
AAB33760.1,Phospholipase A2,9CLP_L,3.98,76.2,Linear,CDR-H3,Oxyuranus scutellatus
AAB33760.1,Phospholipase A2,9CLP_H,1.86,87.3,Conformational,CDR-H3,Oxyuranus scutellatus
AAB33760.1,Phospholipase A2,9CLP_C,9.52,34.5,Mixed,Multiple CDRs,Oxyuranus scutellatus
AAB33760.1,Phospholipase A2,NP_000602.1,1.87,99.9,Linear,Multiple CDRs,Oxyuranus scutellatus
AAB33760.1,Phospholipase A2,P13987.1,8.96,55.2,Mixed,CDR-H3,Oxyuranus scutellatus
AAB33760.1,Phospholipase A2,Q9HCN6.4,4.35,77.7,Linear,CDR-H3,Oxyuranus scutellatus
AAB33760.1,Phospholipase A2,P00740.2,12.42,44.6,Linear,Multiple CDRs,Oxyuranus scutellatus
AAB33760.1,Phospholipase A2,1CDQ_A,1.77,84.0,Conformational,Multiple CDRs,Oxyuranus scutellatus
AAB33760.1,Phospholipase A2,6ION_A,3.39,86.5,Linear,Multiple CDRs,Oxyuranus scutellatus
AAB33760.1,Phospholipase A2,6IOM_B,9.85,45.5,Mixed,Multiple CDRs,Oxyuranus scutellatus
AAB33760.1,Phospholipase A2,6IOM_A,1.33,100.0,Linear,Multiple CDRs,Oxyuranus scutellatus
AAB33760.1,Phospholipase A2,1CDS_A,8.97,66.5,Linear,Multiple CDRs,Oxyuranus scutellatus
AAB33760.1,Phospholipase A2,8SXP_H,15.92,28.9,Linear,CDR-H3,Oxyuranus scutellatus
AAB33760.1,Phospholipase A2,8SXP_L,33.67,0.0,Linear,CDR-H3,Oxyuranus scutellatus
AAB33760.1,Phospholipase A2,4V1D_E,0.8,90.3,Conformational,Multiple CDRs,Oxyuranus scutellatus
AAB33760.1,Phospholipase A2,4V1D_D,14.77,17.3,Mixed,Multiple CDRs,Oxyuranus scutellatus
AAB33760.1,Phospholipase A2,4V1D_B,2.73,77.4,Mixed,CDR-H3,Oxyuranus scutellatus
AAB33760.1,Phospholipase A2,4V1D_A,17.8,22.9,Linear,Multiple CDRs,Oxyuranus scutellatus
AAB33760.1,Phospholipase A2,1CDR_A,20.98,0.0,Linear,CDR-H3,Oxyuranus scutellatus
P0C7A9.1,Snake Venom Metalloproteinase,9MIB_R,1.59,97.2,Conformational,Multiple CDRs,Bothrops jararaca
P0C7A9.1,Snake Venom Metalloproteinase,9MIA_K,1.86,90.8,Conformational,Multiple CDRs,Bothrops jararaca
P0C7A9.1,Snake Venom Metalloproteinase,9MI0_N,18.69,0.7,Linear,Multiple CDRs,Bothrops jararaca
P0C7A9.1,Snake Venom Metalloproteinase,9MI0_L,7.63,45.3,Mixed,CDR-H3,Bothrops jararaca
P0C7A9.1,Snake Venom Metalloproteinase,9CU6_F,13.86,29.2,Conformational,CDR-H3,Bothrops jararaca
P0C7A9.1,Snake Venom Metalloproteinase,9CLP_L,1.94,81.8,Mixed,CDR-H3,Bothrops jararaca
P0C7A9.1,Snake Venom Metalloproteinase,9CLP_H,6.55,65.5,Mixed,Multiple CDRs,Bothrops jararaca
P0C7A9.1,Snake Venom Metalloproteinase,9CLP_C,5.13,72.6,Linear,CDR-H3,Bothrops jararaca
P0C7A9.1,Snake Venom Metalloproteinase,NP_000602.1,5.92,71.1,Conformational,CDR-H3,Bothrops jararaca
P0C7A9.1,Snake Venom Metalloproteinase,NP_001265042.1,2.56,94.9,Linear,Multiple CDRs,Bothrops jararaca
P0C7A9.1,Snake Venom Metalloproteinase,P13987.1,33.67,0.0,Mixed,CDR-H3,Bothrops jararaca
P0C7A9.1,Snake Venom Metalloproteinase,NP_001424713.1,1.87,76.2,Mixed,CDR-H3,Bothrops jararaca
P0C7A9.1,Snake Venom Metalloproteinase,Q9HCN6.4,3.68,74.0,Conformational,Multiple CDRs,Bothrops jararaca
P0C7A9.1,Snake Venom Metalloproteinase,P00740.2,10.58,58.4,Conformational,CDR-H3,Bothrops jararaca
P0C7A9.1,Snake Venom Metalloproteinase,1CDQ_A,13.87,25.1,Conformational,Multiple CDRs,Bothrops jararaca
P0C7A9.1,Snake Venom Metalloproteinase,6ION_A,9.69,60.2,Linear,Multiple CDRs,Bothrops jararaca
P0C7A9.1,Snake Venom Metalloproteinase,6IOM_B,3.25,91.2,Conformational,Multiple CDRs,Bothrops jararaca
P0C7A9.1,Snake Venom Metalloproteinase,6IOM_A,4.45,71.2,Linear,Multiple CDRs,Bothrops jararaca
P0C7A9.1,Snake Venom Metalloproteinase,1CDS_A,2.62,77.6,Linear,Multiple CDRs,Bothrops jararaca
P0C7A9.1,Snake Venom Metalloproteinase,NP_001265043.1,17.67,11.9,Conformational,CDR-H3,Bothrops jararaca
P0C7A9.1,Snake Venom Metalloproteinase,NP_001455.3,2.99,92.5,Conformational,Multiple CDRs,Bothrops jararaca
P0C7A9.1,Snake Venom Metalloproteinase,8SXP_H,1.01,100.0,Conformational,Multiple CDRs,Bothrops jararaca
